word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1900,1,1750,1090,5.8072,True,"...rier•llargreaves (wilpshire), leather waste paper basket. dr. pinkerton (southport), silver entree dish. mr. and miss parker (cheadle nubile), silver sugar basin and "
sugar,1900,1,1750,1095,5.8171,True,"sugar catarrh. is a name given to a kind of dyspepsia, in which there is acidity and irritation of the stomach from eating too much sugar and pastry. but, ..."
sugar,1900,1,1750,1098,5.8239,True,"625,000.thr0wn on the streets. mr. m'kenna said it could not be seriously contended that the convention had not had an effect on the price of sugar. would the government, if their hands were free, be "
sugar,1900,1,1750,1100,5.8342,True,"an evening's sugaring. a warm, cloudy evening, with a gentle, southerly breeze, and a slight dampness of the atmosphere, during the summer makes the hopes of the entomo..."
sugar,1900,1,1750,1103,5.8453,True,"\ till sugar and coal taxes. ile would noh say anything about the it,ccime-ta%. he believed mr. labouchere's statement to he tree when he 8.1i.1 that the general ..."
sugar,1900,1,1750,1104,5.8468,True,"sugar trade decluce. a reuters ti-logram from lisrbadoes sap that owmg to the eareecungly luw price el sugar, the cos i of proclocuon !i, not covered by it..."
sugar,1900,1,1750,1113,5.8625,True,"sugar is dearer.—advt. death of mrs. litton. the we regret to annbunce that mrs. litton, a, uplands, moore, died yesterday morning after a illness. the dec..."
sugar,1900,1,1750,1121,5.8908,True,... the inquiry into the trading transactions of the corporation has been continued at 'four sittings of the commissioners held during the present week. sugar keeps dear.—a
sugar,1900,1,1750,1126,5.8989,True,"the examiner, saturday, apr miss marshall, sugar and cream misses birtles, picture misses hodgkinson, afternoon tea cloth mr. and mrs. brough, pair of silver vases dr. and mrs. bennett, afternoon te..."
sugar,1900,1,1750,1127,5.9004,True,"sugar tax. counsel the purchase of the coffee tha t al ways pleases family or guests isynungton coffee e.,5 the new french „remedy. t i-1 erapion1hissucces..."
sugar,1900,1,1750,1134,5.9104,True,"sugar tax. covtisel the purchase of the coffee that al ways pleases famil or guests ymington coff ‘e is 1.3.1.11k8s b 41 pills are warranted to cure, in ei..."
sugar,1900,1,1750,1135,5.9117,True,"'-'- l • ~ \„. miallikliil,,._ sugar keeps dear.—advt. mr. h. greenall (warrington),coroner of the manor of hale, held an inquest at the childe of hale hotel, bale, on monday, touching t..."
sugar,1900,1,1750,1143,5.9268,True,"...ay-street. !side entrance in con waystreet. tem following itnredeemed pledges f"" gig 10s.—solid silver•topped eight-bo:tie cruet. £ 10 106.—"" george"" sugar b"
